aname,bname
咽喉炎,药物治疗
咽喉炎,支持性治疗
咽喉炎,对症治疗
咽喉炎,康复治疗
拇外翻,支持性治疗
拇外翻,康复治疗
拇外翻,手术治疗
中暑,药物治疗
中暑,支持治疗
先天性少白头,支持治疗
血管性痴呆,药物治疗
血管性痴呆,支持性治疗
维生素D中毒,药物治疗
维生素D中毒,支持治疗
系统性血管炎,药物治疗
系统性血管炎,支持性治疗
系统性血管炎,对症治疗
延髓性麻痹,支持性治疗
延髓性麻痹,对症治疗
性早熟,药物治疗
性早熟,支持性治疗
小儿湿疹,药物治疗
小儿湿疹,康复治疗
先兆流产,药物治疗
先兆流产,支持治疗
先兆流产,中医治疗
足癣,药物治疗
足癣,支持性治疗
肺动静脉瘘,支持性治疗
肺动静脉瘘,康复治疗
肺动静脉瘘,手术治疗
膀胱结石,支持性治疗
膀胱结石,手术治疗
直肠脱垂,支持性治疗
直肠脱垂,手术治疗
倒睫,药物治疗
倒睫,支持性治疗
神经性耳聋,药物治疗
神经性耳聋,康复治疗
风湿性血管炎,药物治疗
风湿性血管炎,支持性治疗
手足皲裂,药物治疗
手足皲裂,支持治疗
糙皮病样皮疹,药物治疗
糙皮病样皮疹,支持性治疗
新生儿呕血和便血,药物治疗
新生儿呕血和便血,支持性治疗
小儿便秘,药物治疗
小儿便秘,康复治疗
小儿便秘,灌肠治疗
小儿便秘,饮食结构调整
完全流产,对症治疗
完全流产,支持治疗
重症肌无力,药物治疗
重症肌无力,支持性治疗
重症肌无力,对症治疗
肺动脉闭锁,支持性治疗
肺动脉闭锁,康复治疗
肺动脉闭锁,手术治疗
冲动型人格障碍,药物治疗
冲动型人格障碍,心理治疗
表演型人格障碍,药物治疗
表演型人格障碍,心理治疗
丧偶后适应性障碍,支持治疗
丧偶后适应性障碍,心理治疗
急性呼吸窘迫综合征,药物治疗
急性呼吸窘迫综合征,支持性治疗
疑病症,药物治疗
疑病症,心理治疗
肾性糖尿,药物治疗
肾性糖尿,康复治疗
肝大,药物治疗
肝大,康复治疗
乳糜尿,药物治疗
乳糜尿,支持性治疗
冠状动脉供血不足,药物治疗
冠状动脉供血不足,手术治疗
冠状动脉供血不足,介入治疗
肾动脉狭窄,药物治疗
肾动脉狭窄,支持性治疗
肾动脉狭窄,手术治疗
骨裂,支持性治疗，
骨裂,康复治疗，手术治疗
舌咽神经损伤,药物治疗
舌咽神经损伤,康复治疗
舌咽神经损伤,病因治疗
灼痛,支持性治疗
灼痛,康复治疗
脊髓缺血,药物治疗
脊髓缺血,支持性治疗
女性性早熟,药物治疗
女性性早熟,病因治疗
女性性早熟,心理治疗
血管炎,药物治疗
血管炎,支持性治疗
粪类圆线虫病,药物治疗
粪类圆线虫病,支持性治疗
产褥感染,药物治疗
产褥感染,支持性治疗
产褥感染,手术治疗
鼻前庭囊肿,药物治疗
鼻前庭囊肿,支持性治疗
鼻前庭囊肿,手术治疗
内分泌功能亢进,手术治疗，药物治疗
腕枪刺状畸形,支持性治疗
腕枪刺状畸形,康复治疗
腕枪刺状畸形,手术治疗
腕枪刺状畸形,介入治疗
肝淀粉样变性,药物治疗
肝淀粉样变性,支持性治疗
肝淀粉样变性,对症治疗
紫癜,药物治疗
紫癜,支持性治疗
信息成瘾,药物治疗
信息成瘾,心理治疗
龟头珍珠疹,药物治疗
龟头珍珠疹,康复治疗
珍珠丘疹,药物治疗
枕大神经痛,药物治疗
枕大神经痛,支持性治疗
枕大神经痛,封闭治疗
小儿咳嗽,药物治疗
甲周炎,药物治疗
甲周炎,支持治疗
脚气,药物治疗
脚气,支持治疗
泪道阻塞,支持性治疗
泪道阻塞,手术治疗
泪道阻塞,中医治疗
继发性痛经,药物治疗
