aname,bname
上消化道出血,粪便颜色
上消化道出血,上消化道内窥镜检查
消化性溃疡,胃钡餐造影
消化性溃疡,内镜检查
消化性溃疡,胃肠道CT检查
消化性溃疡,纤维胃镜
消化性溃疡,胃液尿素测定
消化性溃疡,电子胃镜
肾功能衰竭,血清镉（Cd）
肾功能衰竭,血液电解质检查
肾功能衰竭,肾脏超声检查
肾功能衰竭,尿液N-乙酰-β-D-氨基葡萄糖苷酶（UNAG）
肾功能衰竭,甲状旁腺激素
肾功能衰竭,甲状旁腺激素（PTH)
肾功能衰竭,消化道激素
肾功能衰竭,血清肌酐
肾功能衰竭,尿总氮
肾功能衰竭,血清尿素
偏头痛,神经系统检查
偏头痛,脑电图检查
偏头痛,颅脑CT检查
偏头痛,脑血管造影
偏头痛,颅脑MRI检查
偏头痛,眼科检查
蜘蛛痣,血常规
蜘蛛痣,肝脏超声检查
肝纤维化,肝脏及胆囊叩诊
肝纤维化,肝脏疾病超声诊断
肝纤维化,肝纤维化指标检查
肝纤维化,反映肝脏间质变化的试验
肝纤维化,透明质酸
肝纤维化,纤维连接蛋白
肝纤维化,肝纤四项
肝纤维化,层粘连蛋白
肝纤维化,血清Ⅳ型胶原蛋白
肝纤维化,血清Ⅲ型胶原蛋白
结肠息肉,血常规
结肠息肉,便常规
结肠息肉,肠镜
结肠息肉,乙状结肠镜检查
结肠息肉,结肠造影
智能障碍,血常规
智能障碍,CT检查
智能障碍,神经系统检查
智能障碍,眼底检查
智能障碍,颅脑MRI检查
智能障碍,脑脊液检查-化学检查-蛋白质检查
智能障碍,血浆缬氨酸
肝肾综合征,肝腹水的检查
肝肾综合征,血清尿素氮
肝肾综合征,血液尿素氮与肌酐比值
肝肾综合征,经皮肾镜检查
肛裂,内镜检查
肛裂,直肠镜检查
肛裂,肛门视诊
肛裂,直肠-肛门运动功能测定
肛裂,肛腹诊
肛裂,粪便血液
结肠粪性穿孔,血常规
结肠粪性穿孔,腹部平片
结肠粪性穿孔,肠镜
结肠粪性穿孔,腹部外形检查
结肠粪性穿孔,腹部叩诊
结肠粪性穿孔,双气囊小肠镜
视神经萎缩,眼底荧光血管造影
视神经萎缩,血管造影
视神经萎缩,视野检查
视神经萎缩,色觉
肠粘连,腹部CT
肠粘连,腹腔镜
肠粘连,小肠造影
急性胃扩张,胃镜
急性胃扩张,肝区及胆囊叩击痛
急性胃扩张,胃总酸度测定
急性胃扩张,胃游离盐酸测定
