aname,bname
小舞蹈病,精神障碍
意识障碍,昏迷
有机磷农药中毒,昏迷
晕厥,心律失常
咽肌麻痹,舌咽神经损伤
压迫性视神经病变,视神经萎缩
中枢神经兴奋药中毒,呼吸衰竭
直立性低血压,尿失禁
周期性麻痹,吞咽困难
重症肌无力危象,腹胀
蛛网膜炎,脑积水
周期性瘫痪,吞咽困难
ADH分泌过多综合征,昏迷
垂体危象与垂体卒中,腹泻
垂体性矮小病,腹泻
多腺体缺陷综合征,腹泻
多发性内分泌肿瘤综合征Ⅰ型,腹泻
低血糖症,脑水肿
代谢性碱中毒,呼吸性碱中毒
高渗性非酮症性糖尿病昏迷,肾功能衰竭
呼吸性碱中毒,急性呼吸窘迫综合征
呼吸性酸中毒,败血症
呼吸性酸中毒,代谢性酸中毒
呼吸性酸中毒,代谢性碱中毒
继发性肾上腺功能不足,昏迷
急性乳腺炎,脓肿
急性淋巴结炎,脓肿
假性甲状旁腺功能减退症,贫血
基底细胞腺瘤,角膜溃疡
库欣综合征,肾结石
慢性淋巴细胞性甲状腺炎,贫血
慢性淋巴细胞性甲状腺炎,类风湿关节炎
乳溢,腹痛
肾上腺危象,休克
糖尿病乳酸性酸中毒,糖尿病酮症酸中毒
糖尿病酮症酸中毒,心律失常
糖尿病酮症酸中毒,休克
糖尿病酮症酸中毒,肺栓塞
糖尿病酮症酸中毒,败血症
糖尿病酮症酸中毒,猝死
糖尿病酮症酸中毒,心肌梗死
糖尿病酮症酸中毒,急性胃扩张
糖尿病酮症酸中毒,脑水肿
维生素D中毒症,维生素D中毒
维生素E缺乏病,动脉粥样硬化
维生素E缺乏病,颅内出血
维生素E缺乏病,贫血
维生素E缺乏病,近视
外科淋巴管瘤,败血症
涎瘘,化脓性腮腺炎
胸腺瘤,肾病综合征
下丘脑疾病,闭经
腺样体肥大,营养不良
腺淋巴瘤,细菌感染
涎腺混合瘤,涎瘘
c胰岛功能性β细胞瘤,腹痛
胰岛素瘤,昏迷
白细胞减少症和粒细胞缺乏症,败血症
白血病,败血症
出血性疾病,休克
单纯红细胞再障性贫血,眩晕
地中海贫血,脾功能亢进
多发性骨髓瘤,意识障碍
恶性淋巴瘤,腹痛
骨髓纤维化,贫血
骨髓增生异常综合征,系统性血管炎
何杰金病,腹水
菌血症,脑膜炎
急性白血病,败血症
巨幼细胞性贫血,贫血
类白血病反应,溶血性贫血
粒细胞缺乏症,昏迷
镁过多症,休克
镁缺乏症,心律失常
弥散性血管内凝血,腹痛
弥散性血管内凝血,休克
弥散性血管内凝血,贫血
尿道上裂,脱水
充血性脾肿大,贫血
贫血,营养不良
破伤风,休克
脾功能亢进症,贫血
溶血过度所致贫血,心力衰竭
溶血性贫血,休克
失血性休克,意识障碍
特发性高嗜酸性细胞综合征,心力衰竭
特发性血小板减少性紫癜,休克
维生素K缺乏病,颅内出血
血栓性血小板减少性紫癜,心律失常
血栓性血小板减少性紫癜,心肌梗死
血栓性血小板减少性紫癜,溶血性贫血
血友病,肌肉萎缩
新生儿溶血病,溶血性贫血
血管母细胞瘤,头痛
先天性红细胞膜病,贫血
血管性血友病,紫癜
遗传性血色病,腹痛
叶酸缺乏所致贫血,眩晕
遗传性出血性毛细血管扩张症,贫血
营养性巨幼红细胞性贫血,腹泻
原发性血小板减少性紫瘢,昏迷
中性白(粒)细胞减少症,败血症
组织细胞增殖症,瘫痪
真性红细胞增多症,脾大
白塞综合征,咯血
白塞病,头痛
多发性大动脉炎,心肌缺血
肥大细胞增多症,腹泻
混合结缔组织病,头痛
混合结缔组织病,吞咽困难
巨细胞动脉炎,失眠
结节性脂膜炎,肾功能衰竭
枯草热,咳嗽
慢性肉芽肿病,脓胸
盘状红斑狼疮,鳞状细胞癌
强直性脊柱炎,心包炎
强直性脊柱炎,骨质疏松
气性坏疽,菌血症
乳房纤维瘤,乳房肿块
软组织肿瘤,低血糖症
嗜酸性筋膜炎,心包积液
Ⅲ型超敏反应性疾病,休克
痛风,肾结石
小儿风湿热,心力衰竭
血清病,多发性神经炎
选择性IgA缺乏症,贫血
原发性免疫缺陷病,痴呆
原发性免疫缺陷病,脑膜炎
遗传性血管性水肿,腹泻
药物过敏,血尿
药物过敏,腹痛
药物过敏,肾功能衰竭
Ⅰ型超敏反应性疾病,休克
动脉硬化性闭塞症,网状青斑
肺爆震伤,休克
感染性肋软骨炎,脓肿
矫正型大动脉错位,心力衰竭
继发性纵隔感染,败血症
肋骨骨折,肺不张
联合瓣膜病变,心律失常
联合瓣膜病变,血尿
联合瓣膜病变,猝死
慢性支气管炎,咯血
慢性缩窄性心包炎,肾功能衰竭
慢性心功能不全,咯血
慢性心功能不全,休克
慢性心功能不全,肺栓塞
慢性心功能不全,心力衰竭
慢性心包炎,心力衰竭
慢性心力衰竭,昏迷
慢性心力衰竭,咯血
慢性心力衰竭,头痛
慢性心力衰竭,胸腔积液
慢性心力衰竭,肺栓塞
慢性心力衰竭,心力衰竭
慢性心力衰竭,猝死
梅毒性心血管病,心力衰竭
慢性肺炎,心律失常
慢性肺炎,呼吸衰竭
慢性肺炎,心力衰竭
慢性肺炎,败血症
慢性脓胸,脓肿
心脏穿透伤,休克
胸骨骨折,气胸
限制型心脏病,血尿
心性猝死综合征,猝死
心脏钝性闭合伤,气胸
原发性心脏肿瘤,昏迷
右心室双出口,心律失常
右心室双出口,气胸
右心室双出口,心力衰竭
右心室双出口,肺不张
右心室双出口,乳糜胸
右心室双出口,急性呼吸窘迫综合征
永存动脉干,动脉导管未闭
纵隔脓肿,休克
转移性胸膜肿瘤,胸腔积液
侧脑室肿瘤,脑疝
第四脑室肿瘤,视神经萎缩
短颈畸形,坐骨神经痛
耳源性脑积水,视神经萎缩
高血压性脑出血,偏瘫
寰椎骨折脱位,瘫痪
系统性红斑狼疮,精神障碍
系统性红斑狼疮,痴呆
颈椎后脱位,瘫痪
颈椎后纵韧带骨化症,瘫痪
颈椎黄韧带骨化症,瘫痪
颈椎小关节创伤性退变性关节炎,眩晕
急性单纯疱疹病毒性脑炎,脑疝
急性颈椎间盘突出症,瘫痪
脊椎结核,脓胸
脊柱裂,瘫痪
颅骨骨髓炎,脑水肿
颅底骨折,脑脊液鼻漏
颅内低压性头痛,意识障碍
颅内占位性病变引起的头痛,视神经萎缩
颅内转移瘤,共济失调
帽状腱膜下脓肿,脑脓肿
脑室炎,脑积水
脑囊虫病,昏迷
脑蛛网膜下腔出血,低钠血症
脑损伤后综合征,多汗症
脑脊液漏,脑疝
脑弓形体病,腹膜炎
脑挫裂伤,脑疝
脑膜炎,休克
脑膜瘤,嗅觉障碍
上皮样囊肿,脑膜炎
神经胶质瘤,脑疝
头皮血肿,贫血
听神经鞘瘤,脑积水
外伤性颈内动脉海绵窦瘘,脑疝
外伤后脑脂肪栓塞,脑疝
外伤后颅内积气,脑疝
外伤后低颅压综合征,颅内出血
外伤后头痛,失眠
外伤性硬脑膜下积液,昏迷
先天性脑积水,瘫痪
新生儿颅内出血,共济失调
小脑扁桃体疝,脑积水
蛛网膜下腔出血,昏迷
中风,昏迷
周围神经损伤,肌肉萎缩
胆囊腺肌增生病,胆结石
胆管良性狭窄,败血症
胆道蛔虫病,败血症
乏特壶腹周围癌,腹水
肝棘球蚴病,腹水
肝内胆管结石,胆汁性肝硬化
肝内胆管结石,营养不良
肝内胆管结石,贫血
肝包虫病,腹痛
溃疡病急性穿孔,休克
门静脉高压症,上消化道出血
门静脉高压症,脾功能亢进
胰腺囊腺癌,消化不良
原发性硬化性胆管炎,腹泻
原发性硬化性胆管炎,菌血症
原发性硬化性胆管炎,腹水
原发性硬化性胆管炎,胆囊结石
胰腺囊肿,腹泻
胰腺瘘,脱水
胰石症,消化性溃疡
胰岛细胞类癌,贫血
后尿道瓣膜,隐睾
结核性膀胱挛缩,血尿
尿道创伤,尿瘘
尿道狭窄,尿瘘
尿道损伤,败血症
男性尿道癌,血尿
膀胱损伤,腹膜炎
膀胱外翻,脊柱裂
膀胱外翻,髋关节脱位
前列腺癌,尿失禁
肾上腺性征异常症,性欲减退
肾损伤,肾结石
肾创伤,肾结石
肾周脓肿,胸腔积液
肾盂癌,贫血
肾盂肿瘤和输尿管肿瘤,精索静脉曲张
I型肾小管性酸中毒,肾功能衰竭
成人脐疝,上消化道出血
腹膜后血肿,休克
腹内疝,休克
腹股沟斜疝,休克
粪瘘,尿瘘
肛门失禁,腹泻
骨盆直肠脓肿,盆腔脓肿
肛裂,脓肿
肛周湿疹,细菌感染
孤立性直肠溃疡综合征,直肠脱垂
会阴裂伤,外阴溃疡
急性出血性坏死性小肠炎,休克
结肠脂肪瘤,肠套叠
蓝氏贾第鞭毛虫病,贫血
盲肠肉芽肿,便秘
盲肠肉芽肿,半乳糖血症
蛲虫病,腹膜炎
外痔,肛裂
变形性骨炎,耳聋
鼻骨骨折,休克
成骨不全,扁平足
成软骨细胞瘤,贫血
风湿性关节炎,口腔溃疡
Friedreich共济失调症,营养不良
腓骨肌萎缩症,视神经萎缩
骨巨细胞瘤,截瘫
骨干续连症,膝内翻
骨肿瘤,贫血
骨包囊虫病,截瘫
肱骨外上髁炎,骨膜炎
骨外软骨肉瘤,贫血
骨旁骨肉瘤,贫血
骨的原发性淋巴瘤,贫血
骨雅司病,骨膜炎
股骨颈骨折,休克
肱骨外科颈骨折,气胸
肱骨外科颈骨折,血胸
颌骨骨折,口腔溃疡
化脓性关节炎,败血症
颌骨造釉细胞瘤,磨牙
褐黄病性关节炎,前列腺结石
踝扭伤,骨裂
肩-手综合征,类风湿关节炎
脊椎结核后突畸形,截瘫
脊椎结核并发截瘫,腹胀
脊柱、脊髓损伤,上消化道出血
脊髓空洞症,吞咽困难
脊髓空洞症,眩晕
脊髓空洞症,瘫痪
脊髓空洞症,脊柱侧弯
肌萎缩侧索硬化症,呼吸衰竭
肌张力异常,扭转痉挛
脊髓灰质炎,休克
脊髓灰质炎,肺不张
脊髓灰质炎,瘫痪
脊髓灰质炎,低钠血症
脊髓灰质炎,肾结石
胫骨内髁骨软骨病,膝内翻
脊椎骨髓炎,截瘫
眶底骨折,眼球突出
髋关节结核,肌肉萎缩
梨状肌综合征,肌肉萎缩
难产,产后出血
颞骨骨折,眩晕
颞骨骨折,眼球震颤
颞下颌关节脱位,吞咽困难
颞下颌关节强直,营养不良
颧骨骨折,眼球内陷
缺血性坏死,肌肉萎缩
前斜角肌综合征,肌肉萎缩
桡骨小头半脱位,肌肉萎缩
软骨发育不全,脑积水
枢椎齿状突骨折,瘫痪
神经性关节病,骨质疏松
听小骨创伤,耳聋
特发性脊柱侧凸,肺不张
无脊髓损伤的颈椎骨折脱位,颈椎骨折脱位
先天性肘关节融合,肌肉萎缩
膝关节结核,贫血
先天性颅锁骨发育不全,脊柱裂
下背部痛,坐骨神经痛
纤维肌痛症,类风湿关节炎
旋转带肌腱炎,粉碎性骨折
腰部慢性劳损,肌肉萎缩
眼眶击出性骨折,眼球突出
眼眶骨折,眼球突出
坐骨神经痛,腰椎间盘突出
肘关节脱位,肘关节脱位
肢骨纹状肥大,足外翻
趾间神经痛,骨质疏松
周围性软骨肉瘤,截瘫
跖趾关节痛,共济失调
创伤性鼻中隔穿孔,头痛
创伤性鼻出血,休克
电击伤,休克
非冻结性冷伤,细菌感染
腹部创伤,腹膜炎
鼓膜外伤,耳聋
急性失血所致贫血,休克
开放性脑外伤,脑脓肿
强酸类中毒,猝死
头皮感染,脑脓肿
头外伤,贫血
血胸,休克
咽部机械性创伤,吞咽困难
腰腿痛,截瘫
咽喉部外伤,休克
冻僵,心包炎
